CF71,51.46176,-3.45402
CF72,51.52989,-3.39852
CF81,51.6998,-3.24311
CF82,51.65132,-3.236
CF83,51.58587,-3.2169
CH1,53.20173,-2.90732
CH2,53.2164,-2.86869
CH3,53.1664,-2.8213
CH4,53.16823,-2.93803
CH41,53.39402,-3.03022
CH42,53.37433,-3.02073
CH43,53.38299,-3.05853
CH44,53.41554,-3.03676
CH45,53.42801,-3.05061
CH46,53.40319,-3.11018
CH47,53.39634,-3.16866
CH48,53.37116,-3.16947
CH49,53.38079,-3.10208
CH5,53.20424,-3.04064
CH6,53.25003,-3.14518
CH60,53.32602,-3.09466
CH61,53.34754,-3.10122
CH62,53.33421,-2.98072
CH63,53.34474,-3.01101
CH64,53.28779,-3.04717
CH65,53.27729,-2.90142
CH66,53.27704,-2.93442
CH7,53.16924,-3.13256
CH8,53.28144,-3.24053
CM0,51.66221,0.83719
CM1,51.74454,0.45694
CM11,51.62335,0.44605
CM12,51.62757,0.41593
CM13,51.61564,0.33872
CM14,51.61835,0.29263
CM15,51.64328,0.30545
CM16,51.69981,0.12161
CM17,51.77043,0.14522
CM18,51.75584,0.10685
CM19,51.76,0.07515
CM2,51.72141,0.48754
CM20,51.77476,0.10483
CM21,51.81177,0.14718
CM22,51.86164,0.22218
CM23,51.87178,0.16021
CM24,51.8988,0.20657
CM3,51.71932,0.58445
CM4,51.67392,0.39235
CM5,51.72083,0.24857
CM6,51.8768,0.36678
CM7,51.89752,0.53797
CM77,51.86224,0.52554
CM8,51.80536,0.6387
CM9,51.74097,0.70159
CO1,51.88891,0.9096
CO10,52.05706,0.72355
CO11,51.94126,1.0789
CO12,51.93115,1.25427
CO13,51.83802,1.23884
CO14,51.84979,1.26873
CO15,51.7962,1.15605
CO16,51.82039,1.1258
CO2,51.86947,0.89527
CO3,51.88466,0.86281
CO4,51.90654,0.92383
CO5,51.81459,0.82209
CO6,51.92419,0.78968
CO7,51.8838,1.0052
CO8,51.97328,0.76797
CO9,51.96878,0.61043
CR0,51.37223,-0.07463
CR2,51.34983,-0.07988
CR3,51.28687,-0.07964
CR4,51.40415,-0.15813
CR5,51.31211,-0.13886
CR6,51.30799,-0.05149
CR7,51.39517,-0.10242
CR8,51.33594,-0.11061
CR9,51.37223,-0.07463
CT1,51.27719,1.08733
CT10,51.36208,1.43073
CT11,51.33557,1.41438
CT12,51.34216,1.37322
CT13,51.26692,1.33042
CT14,51.21582,1.38689
CT15,51.17109,1.28343
CT16,51.13996,1.30267
CT17,51.12845,1.29613
CT18,51.11447,1.15078
CT19,51.08785,1.1704
CT2,51.29261,1.08262
CT20,51.07899,1.16551
CT21,51.07233,1.07795
CT3,51.27743,1.21213
CT4,51.22462,1.06805
CT5,51.35318,1.03641
CT6,51.3642,1.13054
CT7,51.37122,1.30062
CT8,51.37996,1.3415
CT9,51.38304,1.3906
CV1,52.40939,-1.506
CV10,52.52535,-1.50028
CV11,52.51885,-1.45318
CV12,52.47399,-1.47288
CV13,52.61217,-1.41362
CV2,52.4227,-1.46467
CV21,52.36774,-1.27438
CV22,52.35522,-1.28633
CV23,52.36165,-1.30826
CV3,52.3931,-1.48119
CV31,52.27819,-1.52358
CV32,52.2962,-1.53072
CV33,52.25735,-1.48424
CV34,52.2829,-1.57924
CV35,52.229,-1.5944
CV36,52.06726,-1.62504
CV37,52.1853,-1.71328
CV4,52.39794,-1.56492
CV47,52.23349,-1.38494
CV5,52.41227,-1.55008
CV6,52.43188,-1.50722
CV7,52.44378,-1.563
CV8,52.3511,-1.54336
CV9,52.58493,-1.55864
CW1,53.10281,-2.43469
CW10,53.18907,-2.44604
CW11,53.1426,-2.36482
CW12,53.16455,-2.21093
CW2,53.08119,-2.44642
CW3,52.99952,-2.40534
CW4,53.20648,-2.34739
CW5,53.062,-2.52084
CW6,53.16197,-2.66565
CW7,53.19054,-2.52688
CW8,53.2533,-2.56363
CW9,53.25897,-2.50074
DA1,51.44637,0.20915
DA10,51.44445,0.30837
DA11,51.43455,0.35392
DA12,51.42757,0.38809
DA13,51.38235,0.35555
DA14,51.42475,0.11316
DA15,51.44029,0.09948
DA16,51.4644,0.10923
DA17,51.48706,0.14917
DA18,51.49165,0.14363
DA2,51.4315,0.23433
DA3,51.38417,0.30965
DA4,51.39106,0.23236
DA5,51.44033,0.14698
DA6,51.45484,0.14046
DA7,51.46552,0.14672
DA8,51.47574,0.17745
DA9,51.44771,0.27975
DD1,56.4611,-2.97702
DD10,56.74724,-2.4268
DD11,56.57312,-2.59738
DD2,56.46968,-3.02756
DD3,56.48257,-2.98894
DD4,56.48209,-2.93534
DD5,56.47812,-2.86217
DD6,56.43723,-2.92612
DD7,56.5033,-2.71814
DD8,56.6565,-2.92171
DD9,56.74798,-2.6672
DE1,52.91994,-1.47492
DE11,52.77372,-1.55377
DE12,52.72516,-1.55279
DE13,52.80741,-1.68844
DE14,52.80457,-1.6395
DE15,52.79908,-1.6084
DE21,52.93322,-1.43161
DE22,52.93351,-1.49559
DE23,52.90114,-1.49448
DE24,52.89016,-1.4515
DE3,52.90852,-1.54049
DE4,53.12707,-1.56357
DE45,53.21464,-1.6765
DE5,53.04456,-1.4018
DE55,53.10104,-1.37114
DE56,53.02152,-1.47369
DE6,52.99358,-1.7169
DE65,52.86651,-1.60927
DE7,52.9722,-1.32089
DE72,52.8933,-1.35929
DE73,52.84694,-1.43571
DE74,52.84368,-1.32884
DE75,53.01284,-1.35305
DG1,55.07353,-3.58045
DG10,55.31977,-3.43735
DG11,55.11331,-3.33584
DG12,54.98928,-3.25044
DG13,55.17291,-3.02849
DG14,55.08069,-2.98539
DG16,54.99731,-3.06777
DG2,55.06442,-3.65683
DG3,55.23678,-3.79927
DG4,55.37555,-3.95236
DG5,54.92201,-3.81016
DG6,54.83721,-4.05555
DG7,54.96738,-4.01219
DG8,54.87259,-4.51567
DG9,54.87815,-5.02123
DH1,54.78103,-1.56616
DH2,54.85933,-1.59648
DH3,54.87181,-1.56675
DH4,54.85444,-1.4906
DH5,54.82372,-1.45363
DH6,54.75276,-1.46391
DH7,54.78943,-1.66406
DH8,54.85541,-1.84422
DH9,54.86773,-1.70704
DL1,54.53016,-1.53637
DL10,54.41381,-1.69025
DL11,54.43841,-1.8751
DL12,54.57239,-1.98453
DL13,54.71619,-1.95343
DL14,54.65199,-1.68999
DL15,54.7096,-1.72836
